[2017-04-25 16:42:30] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/gm.php    elapsed time:3 ms
[2017-04-25 16:43:14] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"aaa", "password":"47bce5c74f589f4867dbd57e9ca9f808", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:24 ms
[2017-04-25 16:43:14] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:5 ms
[2017-04-25 16:43:14] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"V3uQ2ktnsNgXBdng"}}    elapsed time:19 ms
[2017-04-25 16:45:12] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"aaa", "password":"47bce5c74f589f4867dbd57e9ca9f808", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:5 ms
[2017-04-25 16:45:12] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:1 ms
[2017-04-25 16:45:12] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"dsypqA7WbmQBfmbd"}}    elapsed time:20 ms
[2017-04-25 16:46:41] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"aaa", "password":"47bce5c74f589f4867dbd57e9ca9f808", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:6 ms
[2017-04-25 16:46:41] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:3 ms
[2017-04-25 16:46:41] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"3MWluoYzLBIWuckr"}}    elapsed time:19 ms
[2017-04-25 16:47:33] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"aaa", "password":"47bce5c74f589f4867dbd57e9ca9f808", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:5 ms
[2017-04-25 16:47:33] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:1 ms
[2017-04-25 16:47:33] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"GHKyNpWbVrSsHeni"}}    elapsed time:18 ms
[2017-04-25 16:50:54] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"aaa", "password":"47bce5c74f589f4867dbd57e9ca9f808", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:9 ms
[2017-04-25 16:50:54] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:3 ms
[2017-04-25 16:50:54] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"CDyxMt0Z8rnrUmLn"}}    elapsed time:16 ms
[2017-04-25 16:51:02] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"aaa", "password":"47bce5c74f589f4867dbd57e9ca9f808", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:7 ms
[2017-04-25 16:51:02] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:2 ms
[2017-04-25 16:51:02] 127.0.0.1  request  http://127.0.0.1/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"ZMbkHHCE7w4Nfs2l"}}    elapsed time:19 ms
