[2017-05-09 17:05:08] 172.17.240.132  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"e4528ad9-2f45-4291-ac88-1a039c4520e3", "password":"d41d8cd98f00b204e9800998ecf8427e", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:22 ms
[2017-05-09 17:18:14] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"0fe298a8-7a72-4816-9db0-b7a4e9a806e4", "password":"d41d8cd98f00b204e9800998ecf8427e", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:7 ms
[2017-05-09 17:18:14] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:2 ms
[2017-05-09 17:18:14] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"hvEwMiqTbZoTTU8d"}}    elapsed time:13 ms
[2017-05-09 17:19:45] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"0fe298a8-7a72-4816-9db0-b7a4e9a806e4", "password":"d41d8cd98f00b204e9800998ecf8427e", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:5 ms
[2017-05-09 17:19:45] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:1 ms
[2017-05-09 17:19:46] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"h4ukA8tHHvnqED81"}}    elapsed time:18 ms
[2017-05-09 17:57:49] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"0fe298a8-7a72-4816-9db0-b7a4e9a806e4", "password":"d41d8cd98f00b204e9800998ecf8427e", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:9 ms
[2017-05-09 17:57:50] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:3 ms
[2017-05-09 17:57:50] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"A3bAfcZaw5HJvRP0"}}    elapsed time:23 ms
[2017-05-09 17:58:27] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"0fe298a8-7a72-4816-9db0-b7a4e9a806e4", "password":"d41d8cd98f00b204e9800998ecf8427e", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:6 ms
[2017-05-09 17:58:27] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:2 ms
[2017-05-09 17:58:28] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"Kl7bN841eqw7NcZn"}}    elapsed time:17 ms
[2017-05-09 17:58:51] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"0fe298a8-7a72-4816-9db0-b7a4e9a806e4", "password":"d41d8cd98f00b204e9800998ecf8427e", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:5 ms
[2017-05-09 17:58:51] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:2 ms
[2017-05-09 17:58:51] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"cVSHu6wo7z87t5uh"}}    elapsed time:20 ms
[2017-05-09 17:59:44] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"login", "arg":{"username":"0fe298a8-7a72-4816-9db0-b7a4e9a806e4", "password":"d41d8cd98f00b204e9800998ecf8427e", "channel":"default_self", "game_id":"_self_game"}}    elapsed time:6 ms
[2017-05-09 17:59:44] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"server_list", "arg":{}}    elapsed time:2 ms
[2017-05-09 17:59:44] 172.17.96.98  request  http://172.17.96.98/game_operating_platform/index.php  post data:req_data={"opcode":"enter_game", "arg":{"server_id":"1", "random_a":"AIkZtrZ8tp0Y4YJn"}}    elapsed time:17 ms
